income,spending,estimatedBalance,date
344.35,-357.5400000000001,-13.190000000000008,202408.0
3853.0299999999997,-4817.129999999999,-964.0999999999995,202407.0
426.9999999999999,-537.6199999999999,-110.61999999999998,202406.0
70.58,-282.69,-212.11,202405.0
344.35,-357.5400000000001,-13.190000000000008,202408.0
3853.0299999999997,-4817.129999999999,-964.0999999999995,202407.0
426.9999999999999,-537.6199999999999,-110.61999999999998,202406.0
70.58,-282.69,-212.11,202405.0
344.35,-357.5400000000001,-13.190000000000008,202408.0
3853.0299999999997,-4817.129999999999,-964.0999999999995,202407.0
426.9999999999999,-537.6199999999999,-110.61999999999998,202406.0
70.58,-282.69,-212.11,202405.0
344.35,-357.5400000000001,-13.190000000000008,202408.0
3853.0299999999997,-4817.129999999999,-964.0999999999995,202407.0
426.9999999999999,-537.6199999999999,-110.61999999999998,202406.0
14.42,-81.47999999999999,-67.06,202405.0
